title,slug,toolCategory,active
Allen Key Set - Arndt,allen-key-set-arndt,Hand Tools,TRUE
Bandit Strapping tool,bandit-strapping-tool,Hand Tools,TRUE
Bender Pipe 20mm Condute - Bosal,bender-pipe-20mm-condute-bosal,Pipe & Hydraulic,TRUE
Blower cordless - makita/metabo,blower-cordless-makita-metabo,Power Tools,TRUE
Bolt Cutter - 600mm,bolt-cutter-600mm,Hand Tools,TRUE
Bolt Cutter - 450mm,bolt-cutter-450mm,Hand Tools,TRUE
Bow saw small,bow-saw-small,Hand Tools,TRUE
Broom,broom,Hand Tools,TRUE
Brush - Steel,brush-steel,Hand Tools,TRUE
Cabel Jack,cabel-jack,Electrical & Cabling,TRUE
Cabel Jack Shaft,cabel-jack-shaft,Electrical & Cabling,TRUE
Cabel Jack Stand,cabel-jack-stand,Electrical & Cabling,TRUE
Cabel Roller,cabel-roller,Electrical & Cabling,TRUE
Cable Cutter,cable-cutter,Electrical & Cabling,TRUE
Cable Cutter Core,cable-cutter-core,Electrical & Cabling,TRUE
Cable Gland Spanner,cable-gland-spanner,Electrical & Cabling,TRUE
Cable Knifes,cable-knifes,Electrical & Cabling,TRUE
Clock Machine,clock-machine,Power Tools,TRUE
Compressor - Matair 100L,compressor-matair-100l,Power Tools,TRUE
Concrete Chisel,concrete-chisel,Hand Tools,TRUE
Cord extension 14m,cord-extension-14m,Electrical & Cabling,TRUE
Cord extension 24m,cord-extension-24m,Electrical & Cabling,TRUE
Cord extension 30m,cord-extension-30m,Electrical & Cabling,TRUE
Cordless Rotary Hammer - Ryobi,cordless-rotary-hammer-ryobi,Power Tools,TRUE
Crimp Cutting Kit MC4,crimp-cutting-kit-mc4,Electrical & Cabling,TRUE
Crimper Bootlace,crimper-bootlace,Electrical & Cabling,TRUE
Crimper Hydraulic - CYO-430,crimper-hydraulic-cyo-430,Electrical & Cabling,TRUE
Crimper manual - HT0650,crimper-manual-ht0650,Electrical & Cabling,TRUE
Crowbar / Koevoet,crowbar-koevoet,Hand Tools,TRUE
Cutt Off Machine - Metabo,cutt-off-machine-metabo,Power Tools,TRUE
"Cutter, Straight Line (Quickie)",cutter-straight-line-quickie,Hand Tools,TRUE
Dial Indicator Insize,dial-indicator-insize,Measurement & Survey,TRUE
Drain cleaning rod set,drain-cleaning-rod-set,Pipe & Hydraulic,TRUE
Drill - Makita/Metabo,drill-makita-metabo,Power Tools,TRUE
